CODIGO;DESCRIPCION;AGENTE PROPIETARIO;PORCENTAJE PROPIEDAD;TIPO UNIDAD;ESTADO;ZONA/FRONTERA
AGRIC01;AGRI ENERGIA COMPRA (ESP);AGRI-ENERGÍA;100;COMERCIALIZADOR;;ZONA ESPANOLA
AGUB;C.H.B. AGUAYO BOMBEO;E.ON GENERACION, S.L.;100;BOMBEO;;ZONA ESPANOLA
AGUG;C.H. AGUAYO GENERACION;E.ON GENERACION, S.L.;100;GENERACION;;ZONA ESPANOLA
AGVRC01;AGENTE REPRE VALLES PLASTIC;VICTOR MANUEL TORRO FERRERO;100;CONSUMIDOR DIRECTO;;ZONA ESPANOLA
ALABEF;ALABE-FORET;ENEL UNIÓN FENOSA RENOVABLES (UFESP);;GENERACION;BAJA;ZONA ESPANOLA
ALBAC01;ALBA COMPRA;DIST ELECTRICA DE ALBATARREC SL;100;COMERCIALIZADOR;;ZONA ESPANOLA
ALCAC01;COMPRA ELECTRICIDAD;ALCANZIA ENERGIA S.L.;100;COMERCIALIZADOR;;ZONA ESPANOLA
ALCATEC;SMURFIT (ALCALA) TEC94;SMURFIT ESPANA;;GENERACION;BAJA;ZONA ESPANOLA
ALDRC01;COMERCIALIZADORA ALDRO ENERGIA;ALDRO ENERGIA Y SOLUCIONES S.L;100;COMERCIALIZADOR;;ZONA ESPANOLA
ALG1;C.T. ALGECIRAS 1;E.ON GENERACION, S.L.;100;GENERACION;BAJA;ZONA ESPANOLA
ALG2;C.T. ALGECIRAS 2;E.ON GENERACION, S.L.;100;GENERACION;BAJA;ZONA ESPANOLA
ALG3;C.C. ALGECIRAS 3;E.ON GENERACION, S.L.;100;GENERACION;;ZONA ESPANOLA
ALG3X;CONSUMO SSAA CCGT ALGECIRAS 3;E.ON GENERACION, S.L.;100;CONSUMIDOR DIRECTO;BAJA;ZONA ESPANOLA
ALGICA1;ALGICA1;SUMINISTROS ESPECIALES ALGINETENSES, S.C.V.;100;COMERCIALIZADOR;;ZONA ESPANOLA
ALIAGA;ALIAGA;CINCA VERDE;100;GENERACION;BAJA;ZONA ESPANOLA
ALICC01;COMPRA EUROENERGIA;EUROENERGIA DE LEVANTE, S.L.;100;COMERCIALIZADOR;;ZONA ESPANOLA
ALIMA;LIMA;EDP-ENERGÍAS DE PORTUGAL;100;GENERACION;;ZONA PORTUGUESA
ALL1;C.T. ANLLARES;ENDESA GENERACION, S.A.;333,333,333;GENERACION;;ZONA ESPANOLA
ALTEC01;ALTAIR ENTORNO NEG COMPA (ESP);ALTAIR ENTORNO DE NEGOCIO;100;COMERCIALIZADOR;BAJA;ZONA ESPANOLA
ALZ1;C.N. ALMARAZ 1;ENDESA GENERACION, S.A.;36,021;GENERACION;;ZONA ESPANOLA
ALZ2;C.N. ALMARAZ 2;ENDESA GENERACION, S.A.;36,021;GENERACION;;ZONA ESPANOLA
AMAROZ;PAPELERA DE AMAROZ;PAPELERA DE AMAROZ;100;GENERACION;BAJA;ZONA ESPANOLA
AMBIETA;C.C. AMOREBIETA;BIZKAIA ENERGIA;100;GENERACION;;ZONA ESPANOLA
AMBIETX;AMBIETA COM. AUX.;BIZKAIA ENERGIA;100;CONSUMIDOR DIRECTO;;ZONA ESPANOLA
AMEC01;AG. MERCADO ELÉCTRICO COM(ESP) ARACÁN ENERGÍA;AGENTE DEL MERCADO ELÉCTRICO;100;COMERCIALIZADOR;;ZONA ESPANOLA
AMEPM01;PM;AGENTE DEL MERCADO ELÉCTRICO (ACT. COMERC. RE);100;GENERACION;;ZONA ESPANOLA
AMERE1;AG. MER. ELECT. REG ESPECIAL 1;AGENTE DEL MERCADO ELÉCTRICO;100;GENERACION;BAJA;ZONA ESPANOLA
AMEVD1;UNIDAD OFERTA TARIFA AME;AGENTE DEL MERCADO ELÉCTRICO (ACT. COMERC. RE);100;GENERACION;;ZONA ESPANOLA
AMRE001;AME VENTA REG. ESP. 1;AGENTE DEL MERCADO ELÉCTRICO;100;GENERACION;BAJA;ZONA ESPANOLA
